5da6d6ef-c861-4e16-a9bc-b63e593f7ef7,#56: Beer Tasting & Judging with Heater Allen Brewing,"Ever wonder about the best way to taste a beer? This week we learn from an experienced judge, Lisa at Heater Allen Brewing, how she approaches a beer for both drinking and judging. So pour yourself a pint (but be sure it's in the right glassware!) and enjoy as you listen and learn.

Cheers!

Marc

Website: www.theunsophisticatedpalate.com
Music: Happy Clappy by John Bartmann
Artwork: Marlon Kalis","Thu, 21 Nov 2019 11:00:13 +0000",http://feeds.soundcloud.com/stream/715014211-user-89308415-56-beer-tasting-judging-with-heater-allen-brewing.mp3
5da6d6ef-c861-4e16-a9bc-b63e593f7ef7,#55: And a Bottle of Kuleana Rum - Part 2,"We're back this week for Part 2 of our talk about rum with Kuleana Rum! We continue the conversation about how it is made and what happens in the barrel while it ages. Then we dive into the different kinds of rum including gold, dark, light, & spiced before moving onto how to drink rum, plus more! So pour yourself a glass and enjoy... 

Cheers!

Marc

Website: www.theunsophisticatedpalate.com
Music: Happy Clappy by John Bartmann
Artwork: Marlon Kalis","Thu, 14 Nov 2019 11:00:13 +0000",http://feeds.soundcloud.com/stream/711339559-user-89308415-55-and-a-botle-of-kuleana-rum-part-2.mp3
5da6d6ef-c861-4e16-a9bc-b63e593f7ef7,#54: And a Bottle of Kuleana Rum - Part 1,"Rum is much more than a mixer in tropical drinks, but it does that very well too! This week Marc is joined by Kuleana Rum to discuss all things rum, from what it is to how its made. We get into the history of sugar cane and even just basic distilling of spirits. In fact there was so much that we needed two weeks to cover it all! So grab a bottle of rum, pour yourself a taste, and enjoy!

Cheers!

Marc

Website: www.theunsophisticatedpalate.com
Music: Happy Clappy by John Bartmann
Artwork: Marlon Kalis","Thu, 07 Nov 2019 11:00:22 +0000",http://feeds.soundcloud.com/stream/709005292-user-89308415-54-and-a-bottle-of-kuleana-rum-part-1.mp3
5da6d6ef-c861-4e16-a9bc-b63e593f7ef7,#53: Cabernet Franc with Thumbprint Cellars,"Cab Franc is common in Bordeaux style blends but it is also becoming increasingly popular as a stand alone grape. This week Marc is joined by Scott, the Winemaker at Thumbprint Cellars, to discuss the varietal from how it is grown to how it is used for blending to how it can stand on its own. Along the way we talk art, balance, and his journey. So pour yourself a glass and Cheers!

Marc

Website: www.theunsophisticatedpalate.com
Music: Happy Clappy by John Bartmann
Artwork: Marlon Kalis","Thu, 31 Oct 2019 10:00:02 +0000",http://feeds.soundcloud.com/stream/701598556-user-89308415-53-cabernet-franc-with-thumbprint-cellars.mp3
5da6d6ef-c861-4e16-a9bc-b63e593f7ef7,#52: Happy Hour with Jen,"Jen is back to join Marc for our 52nd episode - that's One Year of The Unsophisticated Palate!!!! So what else should we do to celebrate but enjoy a Happy Hour! We talk about what it is today, the history, and the special meaning behind what a Happy Hour can and perhaps should really be. So pour your favorite drink and enjoy...

Cheers!

Marc

Website: www.theunsophisticatedpalate.com
Music: Happy Clappy by John Bartmann
Artwork: Marlon Kalis","Thu, 24 Oct 2019 10:00:02 +0000",http://feeds.soundcloud.com/stream/689604898-user-89308415-52-happy-hour-with-jen.mp3
5da6d6ef-c861-4e16-a9bc-b63e593f7ef7,#51: Wine Apps with Oak Tree Winery,"There are a ton of wine apps out there for your phones, from label and wine information to education to pairings to cellar tracking and much more. This week Marc is joined by Michael from Oak Tree Winery to talk through some of the more popular and well rated apps out there to help you find tools to better enjoy what's in your glass. Enjoy!

Cheers!

Marc

Website: www.theunsophisticatedpalate.com
Music: Happy Clappy by John Bartmann
Artwork: Marlon Kalis","Thu, 17 Oct 2019 10:00:02 +0000",http://feeds.soundcloud.com/stream/688687009-user-89308415-51-wine-apps-with-oak-tree-winery.mp3
5da6d6ef-c861-4e16-a9bc-b63e593f7ef7,#50: Wine & Cheese with Thumbprint Cellars,"It is amazing how much something like a bite of cheese can change the flavor of the wine you are drinking. This week Marc is joined by Josh from Thumbprint Cellars to do a wine and cheese pairing and discuss the how and why it happens. We delve into several other topics along the way so grab some cheese, pour yourself some wine, and learn more about what's in your glass!

Cheers!

Marc

Website: www.theunsophisticatedpalate.com
Music: Happy Clappy by John Bartmann
Artwork: Marlon Kalis","Thu, 10 Oct 2019 10:00:04 +0000",http://feeds.soundcloud.com/stream/688263886-user-89308415-50-wine-cheese-with-thumbprint-cellars.mp3
5da6d6ef-c861-4e16-a9bc-b63e593f7ef7,#49: Bourdeaux Varietals with Soda Rock Winery,"What is a Bourdeaux varietal? Marc was joined by Laura from Soda Rock Winery this week to learn all about them and why you should be drinking them! Learn about the Bourdeaux region in France and how the five varietals from there grow and thrive in Northern California and make some of the world's best wines. 

Cheers!

Marc

Website: www.theunsophisticatedpalate.com
Music: Happy Clappy by John Bartmann
Artwork: Marlon Kalis","Thu, 03 Oct 2019 10:00:04 +0000",http://feeds.soundcloud.com/stream/688238641-user-89308415-49-bourdeaux-varietals-with-soda-rock-winery.mp3
5da6d6ef-c861-4e16-a9bc-b63e593f7ef7,#48: Mead with Blom Meadworks,"Mead conjures images of mid-evil times and romantic ages from the past, but it is very much alive in the modern age and if you haven't tried it you should! Marc is joined by Lauren and Matt from Blom Meadworks to discuss what mead is, how it is made, the several varieties and options, and much more. So find yourself a glass of mead and enjoy!

Cheers!

Marc

Website: www.theunsophisticatedpalate.com
Music: Happy Clappy by John Bartmann
Artwork: Marlon Kalis","Thu, 26 Sep 2019 10:00:16 +0000",http://feeds.soundcloud.com/stream/686426263-user-89308415-47-mead-with-blom-meadworks.mp3
5da6d6ef-c861-4e16-a9bc-b63e593f7ef7,#47: Hops and Malt with Heater Allen Brewing,"Beer drinkers often talk about hops and IBU (international bitterness units) so this week Lisa from Heater Allen Brewing returns to join Marc to talk about exactly what hops are and how they affect the beer. We also talk about malt, the foundation of beer. So grab yourself a brew a join us!

Cheers!

Marc

Website: www.theunsophisticatedpalate.com
Music: Happy Clappy by John Bartmann
Artwork: Marlon Kalis","Thu, 19 Sep 2019 10:00:06 +0000",http://feeds.soundcloud.com/stream/681612134-user-89308415-47-hops-and-malt-with-heater-allen-brewing.mp3
